Name,Email,Password,Specialization,Experience,Fees
"Dr. Rahul Mehta",".rahul.mehta@hospital.com","doctor123","cardiology",20,2000
"Dr. Sanjay Gupta",".sanjay.gupta@hospital.com","doctor123","cardiology",18,1800
"Dr. Kavita Reddy",".kavita.reddy@hospital.com","doctor123","cardiology",15,1700
"Dr. Arun Sharma",".arun.sharma@hospital.com","doctor123","cardiology",22,2200
"Dr. Meera Iyer",".meera.iyer@hospital.com","doctor123","cardiology",16,1600
"Dr. Ashok Krishnan",".ashok.krishnan@hospital.com","doctor123","neurology",17,1600
"Dr. Lakshmi Pillai",".lakshmi.pillai@hospital.com","doctor123","neurology",15,1500
"Dr. Shweta Bansal",".shweta.bansal@hospital.com","doctor123","neurology",11,1300
"Dr. Rajiv Malhotra",".rajiv.malhotra@hospital.com","doctor123","neurology",19,1900
"Dr. Neha Kapoor",".neha.kapoor@hospital.com","doctor123","neurology",13,1400
"Dr. Naveen Kumar",".naveen.kumar@hospital.com","doctor123","dentist",7,700
"Dr. Pooja Nair",".pooja.nair@hospital.com","doctor123","dentist",9,800
"Dr. Vikram Singh",".vikram.singh@hospital.com","doctor123","dentist",12,900
"Dr. Anjali Verma",".anjali.verma@hospital.com","doctor123","dentist",6,650
"Dr. Rohan Das",".rohan.das@hospital.com","doctor123","dentist",10,850
"Dr. Priya Sharma",".priya.sharma@hospital.com","doctor123","dermatology",12,1200
"Dr. Suresh Menon",".suresh.menon@hospital.com","doctor123","dermatology",14,1300
"Dr. Deepa Rao",".deepa.rao@hospital.com","doctor123","dermatology",10,1100
"Dr. Arjun Patel",".arjun.patel@hospital.com","doctor123","dermatology",15,1400
"Dr. Swati Deshmukh",".swati.deshmukh@hospital.com","doctor123","dermatology",8,1000
"Dr. Amit Singh",".amit.singh@hospital.com","doctor123","orthopedics",18,1800
"Dr. Ramesh Kumar",".ramesh.kumar@hospital.com","doctor123","orthopedics",20,2000
"Dr. Sunita Joshi",".sunita.joshi@hospital.com","doctor123","orthopedics",16,1700
"Dr. Prakash Yadav",".prakash.yadav@hospital.com","doctor123","orthopedics",14,1500
"Dr. Ritu Agarwal",".ritu.agarwal@hospital.com","doctor123","orthopedics",12,1400
"Dr. Sneha Patel",".sneha.patel@hospital.com","doctor123","pediatrics",10,1000
"Dr. Manish Khanna",".manish.khanna@hospital.com","doctor123","pediatrics",13,1200
"Dr. Nisha Bhatt",".nisha.bhatt@hospital.com","doctor123","pediatrics",9,950
"Dr. Kiran Bose",".kiran.bose@hospital.com","doctor123","pediatrics",15,1300
"Dr. Vivek Saxena",".vivek.saxena@hospital.com","doctor123","pediatrics",11,1100
"Dr. Rajesh Kumar",".rajesh.kumar@hospital.com","doctor123","general_practice",8,800
"Dr. Seema Mishra",".seema.mishra@hospital.com","doctor123","general_practice",10,900
"Dr. Harish Chand",".harish.chand@hospital.com","doctor123","general_practice",12,1000
"Dr. Rekha Devi",".rekha.devi@hospital.com","doctor123","general_practice",7,750
"Dr. Sanjiv Chopra",".sanjiv.chopra@hospital.com","doctor123","general_practice",15,1200
"Dr. Anita Desai",".anita.desai@hospital.com","doctor123","gynecology",14,1400
"Dr. Kavya Reddy",".kavya.reddy@hospital.com","doctor123","gynecology",16,1600
"Dr. Shruti Nambiar",".shruti.nambiar@hospital.com","doctor123","gynecology",12,1300
"Dr. Radha Krishnan",".radha.krishnan@hospital.com","doctor123","gynecology",18,1700
"Dr. Geeta Srinivasan",".geeta.srinivasan@hospital.com","doctor123","gynecology",10,1200
